customer_id,full_name,email,signup_date,country,age,last_purchase_amount,loyalty_tier
3001,Jean Morel,,2025-01-10,FR,42.0,120.5,GOLD
3002,Alice Petit,,2025-01-12,FR,35.0,80.0,SILVER
3003,Carlos Diaz,,,ES,29.0,60.0,GOLD
3004,Lucie Bernard,,2025-02-01,FR,,25.0,BRONZE
3005,Mohamed Ali,,2025-02-10,DE,31.0,,SILVER
3006,Emma Dupont,,2025-02-15,UK,,45.0,GOLD
3007,Tom Leroy,,2025-03-01,US,,90.0,GOLD
3008,Sarah Klein,,2025-03-05,DE,28.0,0.0,SILVER
3009,Anna Rossi,,2025-03-10,IT,34.0,70.0,GOLD
3010,Jean Morel,,2025-01-10,FR,42.0,120.5,GOLD
